"Season","Team","W","L","ERA","G","GS","CG","ShO","SV","HLD","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO"
"2010","NYM","79","83","3.73","653","162","8","4","36","62","16","1453.0","6245","1438","652","602","135","545","55","52","48","5","1106"
"2015","SFG","84","78","3.73","719","162","7","4","41","116","15","1444.1","6009","1344","627","599","155","431","28","50","40","4","1165"
"2018","MIL","96","67","3.73","722","163","0","0","49","92","25","1461.0","6114","1259","659","606","173","553","34","61","50","5","1428"
"2011","NYY","97","65","3.73","627","162","5","3","47","95","16","1458.1","6216","1423","657","605","152","507","43","58","67","3","1222"
"2017","BOS","93","69","3.73","677","162","5","1","39","83","18","1482.1","6217","1384","668","615","195","465","18","49","43","3","1580"
"2015","KCR","95","67","3.74","655","162","2","1","56","79","20","1452.0","6112","1372","641","603","155","489","10","52","62","2","1160"
"2013","TBR","92","71","3.74","648","163","9","3","42","85","18","1464.0","6083","1315","646","608","153","482","38","52","69","6","1310"
"2015","TBR","80","82","3.74","692","162","1","1","60","113","27","1453.1","6069","1314","642","604","175","477","23","46","81","5","1355"
"2017","NYY","91","71","3.75","639","162","2","1","36","70","23","1448.2","6078","1248","660","603","192","504","18","53","83","4","1560"
"2018","TBR","90","72","3.75","715","162","0","0","52","113","21","1448.1","5992","1236","646","603","164","501","34","53","55","6","1421"
"2014","NYY","84","78","3.75","637","162","5","2","48","85","21","1453.0","6114","1392","664","605","164","398","23","65","49","6","1370"
"2018","ATL","90","72","3.75","715","162","2","1","40","97","20","1456.2","6155","1236","657","607","153","635","43","52","61","8","1423"
"2018","BOS","108","54","3.75","697","162","2","0","46","106","20","1458.2","6166","1305","647","608","176","512","8","84","51","3","1558"
"2012","SEA","75","87","3.76","613","162","8","6","43","61","19","1456.2","6062","1359","651","609","166","449","39","49","61","5","1166"
"2012","DET","88","74","3.77","582","162","9","3","40","73","16","1430.2","6045","1409","670","599","151","438","35","42","46","6","1318"
"2018","CLE","91","71","3.77","670","162","5","2","41","76","17","1457.1","6071","1349","648","611","200","407","29","59","54","2","1544"
"2018","NYY","100","62","3.78","670","162","2","2","49","76","17","1456.1","6141","1311","669","611","177","494","9","58","73","4","1634"
"2010","TBR","96","66","3.78","653","162","6","3","51","79","16","1453.2","6103","1347","649","611","175","478","34","46","60","9","1189"
"2013","NYM","74","88","3.78","697","162","4","2","40","68","18","1476.2","6249","1442","684","621","152","458","38","54","47","3","1209"
"2011","STL","90","72","3.79","630","162","7","5","47","68","26","1462.0","6211","1461","692","615","136","448","44","46","48","3","1098"
"2011","TEX","96","66","3.79","579","162","10","7","38","65","20","1441.1","6021","1327","677","607","170","461","21","46","43","6","1179"
"2014","MIA","77","85","3.79","649","162","3","3","42","70","22","1457.2","6217","1481","674","614","114","458","35","49","56","4","1190"
"2016","TOR","89","73","3.79","649","162","0","0","43","72","22","1459.1","6113","1340","666","615","183","461","10","59","50","7","1314"
"2019","CLE","93","69","3.79","684","162","6","5","42","77","16","1437.2","6008","1308","657","606","207","450","19","62","42","2","1508"
"2013","BOS","97","65","3.79","612","162","5","2","33","73","24","1454.0","6143","1366","656","613","156","524","10","47","47","5","1294"
"2011","ARI","94","68","3.80","625","162","5","1","58","75","13","1443.1","6102","1414","662","609","159","442","16","53","39","7","1058"
"2014","PHI","73","89","3.81","623","162","2","0","40","57","16","1468.1","6261","1396","687","621","134","521","43","69","49","1","1255"
"2015","TOR","93","69","3.81","631","162","7","2","34","60","22","1441.0","5984","1353","670","610","173","397","20","59","62","4","1117"
"2013","CLE","92","70","3.82","702","162","3","3","38","78","22","1441.1","6154","1359","662","611","147","554","26","58","71","3","1379"
"2008","TBR","97","65","3.82","610","162","7","5","52","80","16","1457.2","6145","1349","671","618","166","526","29","46","52","3","1143"
"2018","OAK","97","65","3.82","740","162","2","2","44","84","18","1465.2","6099","1303","674","622","184","474","19","53","86","2","1237"
"2019","STL","91","71","3.82","704","162","1","1","52","97","21","1444.0","6068","1284","662","613","191","545","41","69","46","4","1399"
"2013","MIL","74","88","3.84","663","162","4","2","40","83","23","1442.2","6100","1401","687","615","175","466","29","43","51","2","1125"
"2009","CHC","83","78","3.84","641","161","3","2","40","75","18","1445.1","6177","1329","672","617","160","586","46","59","60","6","1272"
"2018","STL","88","74","3.85","727","162","1","1","43","89","21","1455.1","6271","1354","691","623","144","593","49","67","63","4","1337"
"2006","DET","95","67","3.85","552","162","3","1","46","75","16","1448.0","6145","1420","675","620","160","489","35","53","44","2","1003"
"2012","NYY","95","67","3.85","647","162","6","2","51","87","13","1445.1","6085","1401","668","619","190","431","32","49","53","9","1318"
"2016","CLE","94","67","3.86","665","161","5","3","37","54","11","1445.0","6033","1330","676","619","186","461","34","34","49","7","1398"
"2012","PHI","81","81","3.86","602","162","5","4","42","78","19","1451.1","6072","1387","680","622","178","409","33","44","30","3","1385"
"2007","BOS","96","66","3.87","613","162","5","3","45","78","11","1438.2","6071","1350","657","618","151","482","20","62","33","0","1149"
"2008","MIL","90","72","3.87","607","162","12","6","45","68","26","1455.2","6209","1415","689","626","175","528","32","42","53","5","1110"
"2008","CHC","97","64","3.87","639","161","2","1","44","74","24","1450.2","6194","1329","671","624","160","548","45","65","48","7","1264"
"2009","SEA","85","77","3.87","572","162","4","2","49","82","28","1452.2","6159","1359","692","625","172","534","13","43","61","5","1043"
"2006","SDP","88","74","3.88","637","162","4","2","50","81","21","1463.2","6175","1385","679","631","176","468","63","50","34","4","1097"
"2017","WSN","97","65","3.88","649","162","3","1","46","88","17","1446.2","6068","1300","672","624","189","495","39","60","44","5","1457"
"2008","PHI","92","70","3.89","630","162","4","3","47","80","15","1449.2","6229","1444","680","627","160","533","64","57","34","3","1081"
"2012","BAL","93","69","3.90","654","162","1","1","55","67","18","1483.0","6278","1433","705","642","184","481","36","53","34","6","1177"
"2012","PIT","79","83","3.91","645","162","2","1","45","92","14","1433.1","6097","1357","674","623","153","490","30","45","45","3","1192"
"2011","SEA","67","95","3.91","513","162","12","3","39","39","16","1433.0","6014","1369","675","623","145","436","27","51","68","6","1088"
"2013","ARI","81","81","3.92","689","162","6","2","38","64","29","1495.0","6338","1460","695","651","176","485","42","60","84","3","1218"
"2014","CHC","73","89","3.92","699","162","1","1","37","81","21","1463.1","6208","1398","707","638","115","504","37","55","64","3","1311"
"2010","TEX","90","72","3.93","643","162","7","0","46","83","20","1455.1","6213","1355","687","636","162","551","24","63","56","4","1181"
"2015","LAA","85","77","3.94","680","162","2","2","46","82","21","1440.2","6096","1355","675","631","166","466","45","71","61","4","1221"
"2012","ARI","81","81","3.94","623","162","4","2","39","68","20","1433.2","6063","1432","688","628","155","417","18","51","52","10","1200"
"2013","NYY","85","77","3.94","590","162","7","3","49","67","13","1447.1","6128","1452","671","634","171","437","34","51","57","1","1233"
"2010","SEA","61","101","3.95","520","162","11","2","38","36","17","1438.0","6091","1402","698","631","157","452","33","40","73","11","973"
"2006","MIN","96","66","3.95","583","162","1","0","40","68","10","1439.1","6066","1490","683","632","182","356","25","36","40","3","1164"
"2011","FLA","72","90","3.95","670","162","7","4","40","69","19","1459.2","6200","1403","702","641","149","500","72","37","43","10","1218"
"2010","MIN","94","68","3.95","627","162","9","3","40","75","18","1452.2","6106","1493","671","638","155","383","19","47","41","4","1048"
"2018","SFG","73","89","3.95","711","162","1","1","36","82","30","1461.1","6191","1387","699","642","156","524","37","45","44","4","1269"
"2017","CHC","92","70","3.95","693","162","2","1","38","90","19","1447.1","6108","1294","695","636","194","554","29","66","73","4","1439"
"2019","OAK","97","65","3.97","709","162","1","1","45","109","30","1465.0","6153","1342","680","646","201","477","19","66","74","4","1299"
"2013","SDP","76","86","3.98","650","162","3","1","40","75","13","1455.0","6179","1407","700","643","156","525","31","40","51","2","1171"
"2015","CHW","76","86","3.98","576","162","7","4","37","61","15","1452.2","6181","1443","701","643","162","474","34","62","61","2","1359"
"2017","TBR","80","82","3.99","673","162","0","0","53","93","22","1445.0","6099","1324","704","640","193","503","37","48","83","4","1352"
"2008","ARI","82","80","3.99","606","162","6","2","39","68","23","1434.2","6119","1403","706","636","147","451","41","68","59","3","1229"
"2013","CHW","63","99","4.00","632","162","5","1","40","89","20","1455.0","6214","1424","723","646","182","509","24","60","62","4","1249"
"2013","CHC","66","96","4.00","651","162","3","1","39","63","26","1448.0","6149","1332","689","643","160","540","43","62","59","4","1184"
"2016","SEA","86","76","4.00","638","162","2","2","49","97","25","1457.0","6147","1410","707","647","213","460","30","55","52","7","1318"
"2017","MIL","86","76","4.00","712","162","1","0","54","101","25","1445.2","6164","1381","697","642","185","553","45","64","50","2","1346"
"2013","SFG","76","86","4.00","686","162","2","2","41","81","13","1447.1","6163","1380","691","643","145","521","64","50","60","4","1256"
"2008","LAA","100","62","4.00","545","162","7","1","66","74","23","1451.1","6161","1455","697","645","160","457","32","63","50","2","1106"
"2007","TOR","83","79","4.00","582","162","11","2","44","64","25","1448.2","6108","1383","699","644","157","479","34","55","42","3","1067"
"2016","BOS","93","69","4.00","625","162","9","1","43","81","18","1439.2","6073","1341","694","640","176","490","16","65","52","0","1362"
"2014","TOR","83","79","4.00","611","162","3","2","45","78","18","1443.0","6150","1400","686","642","151","490","23","57","43","5","1199"
"2018","PIT","82","79","4.00","641","161","3","2","40","81","20","1434.0","6144","1380","693","638","174","497","43","69","95","6","1336"
"2014","BOS","71","91","4.01","655","162","3","2","36","63","18","1465.2","6231","1458","715","653","154","482","19","47","51","5","1213"
"2014","DET","90","72","4.01","635","162","5","4","41","72","16","1454.0","6191","1475","705","648","127","462","34","42","43","9","1244"
"2008","BOS","95","67","4.01","628","162","5","2","47","66","22","1446.1","6180","1369","694","645","147","548","17","68","43","2","1185"
"2008","OAK","75","86","4.01","602","161","4","1","33","68","19","1435.0","6112","1364","690","640","135","576","45","54","30","4","1061"
"2010","LAD","80","82","4.01","637","162","4","4","41","70","18","1441.2","6141","1323","692","643","134","539","75","58","58","8","1274"
"2012","SDP","76","86","4.01","691","162","4","3","43","98","17","1434.2","6151","1356","710","640","162","539","48","48","49","8","1205"
"2017","STL","83","79","4.01","708","162","3","3","43","90","17","1450.1","6153","1393","705","647","183","493","50","67","38","0","1351"
"2012","LAA","89","73","4.02","606","162","6","5","38","80","22","1433.1","6034","1339","699","640","186","483","20","40","38","2","1157"
"2012","TEX","93","69","4.02","590","162","7","2","43","61","9","1442.0","6067","1378","707","644","175","446","15","41","53","8","1286"
"2010","CIN","91","71","4.02","664","162","4","2","43","74","20","1453.0","6182","1404","685","649","158","524","32","50","48","6","1130"
"2012","CHW","85","77","4.02","628","162","6","2","37","65","21","1445.2","6098","1365","676","646","186","503","29","68","66","9","1246"
"2015","NYY","87","75","4.03","659","162","3","0","48","80","12","1457.2","6191","1416","698","653","182","474","16","56","78","4","1370"
"2015","MIA","71","91","4.04","648","162","0","0","35","80","21","1427.0","6050","1374","678","640","141","508","25","52","53","3","1152"
"2018","WSN","82","80","4.04","724","162","2","1","40","82","14","1446.0","6087","1320","682","649","198","487","37","76","42","6","1417"
"2006","LAA","89","73","4.04","542","162","5","3","50","50","13","1452.2","6149","1410","732","652","158","471","27","50","85","3","1164"
"2010","LAA","80","82","4.04","572","162","10","3","39","63","17","1449.1","6252","1422","702","651","148","565","33","46","80","6","1130"
"2011","DET","95","67","4.04","583","162","4","2","52","60","10","1440.0","6108","1406","711","647","149","492","34","52","69","5","1115"
"2007","CHC","85","77","4.04","640","162","2","1","39","67","14","1446.2","6186","1340","690","650","165","573","46","59","42","3","1211"
"2011","PIT","72","90","4.05","711","162","5","3","43","92","22","1449.1","6317","1513","712","652","152","535","65","62","60","6","1031"
"2015","ARI","79","83","4.05","712","162","1","1","44","85","21","1466.2","6257","1450","713","660","182","500","45","48","51","3","1215"
"2016","MIA","79","82","4.05","720","161","0","0","55","97","29","1435.0","6164","1358","682","646","152","595","62","61","66","3","1379"
"2015","BAL","81","81","4.05","615","162","0","0","43","54","15","1434.2","6085","1406","693","646","174","483","27","54","46","0","1233"
"2007","CLE","96","66","4.05","557","162","9","4","49","71","14","1462.2","6206","1519","704","659","146","410","42","56","42","2","1047"
"2010","NYY","95","67","4.06","592","162","3","0","39","76","18","1442.1","6102","1349","693","650","179","540","37","62","69","6","1154"
"2016","HOU","84","78","4.06","662","162","2","1","44","102","20","1468.0","6180","1441","701","663","181","453","19","39","98","2","1396"
"2015","MIN","83","79","4.07","682","162","2","0","45","76","15","1443.0","6139","1506","700","653","163","413","34","41","54","2","1046"
"2018","NYM","77","85","4.07","663","162","3","1","41","65","17","1460.2","6178","1364","707","661","185","484","32","71","26","2","1446"
"2008","NYM","89","73","4.07","719","162","5","2","43","99","29","1464.1","6338","1415","715","663","163","590","53","70","55","4","1181"
"2016","STL","86","76","4.08","643","162","2","2","38","70","17","1448.1","6164","1432","712","656","159","475","35","52","50","1","1290"
"2010","HOU","76","86","4.09","669","162","4","2","45","82","15","1439.1","6221","1446","729","654","140","548","39","40","57","9","1210"
"2012","NYM","74","88","4.09","667","162","7","5","36","66","19","1434.0","6086","1368","709","652","161","488","29","40","40","3","1240"
"2010","FLA","80","82","4.09","643","162","5","2","39","86","25","1438.1","6217","1433","717","654","134","549","42","51","49","4","1168"
"2015","SDP","74","88","4.09","678","162","1","0","41","63","17","1440.1","6093","1371","731","655","171","516","35","54","54","3","1393"
"2006","HOU","82","80","4.09","659","162","5","2","42","75","18","1468.2","6219","1425","719","668","182","480","65","54","44","2","1160"
"2010","CHW","88","74","4.09","569","162","6","2","43","57","14","1446.1","6180","1471","704","658","136","490","41","34","59","9","1149"
"2016","MIL","73","89","4.10","675","162","0","0","46","88","22","1434.1","6188","1450","733","653","178","532","33","66","48","2","1175"
"2011","CHW","79","83","4.10","572","162","6","4","42","72","20","1460.0","6188","1463","706","665","147","439","50","44","55","4","1220"
"2019","CHC","84","78","4.10","738","162","1","1","38","71","28","1442.0","6190","1376","717","657","195","534","16","80","60","1","1444"
"2012","MIA","69","93","4.10","645","162","5","3","38","88","22","1440.2","6186","1448","724","657","133","495","61","55","36","4","1113"
"2008","CHW","89","74","4.11","626","163","4","0","34","74","18","1457.2","6218","1471","729","665","156","460","42","48","54","3","1147"
"2007","ATL","84","78","4.11","690","162","1","1","36","64","15","1456.1","6263","1442","733","665","172","537","89","42","48","5","1106"
"2016","CHW","78","84","4.12","643","162","7","1","43","86","28","1446.2","6195","1422","715","662","185","521","30","68","72","2","1270"
"2017","HOU","101","61","4.12","681","162","1","0","45","91","21","1446.0","6111","1314","700","662","192","522","17","70","86","4","1593"
"2018","SEA","89","73","4.13","699","162","3","1","60","109","21","1448.2","6073","1396","711","664","195","400","21","72","57","3","1328"
"2010","WSN","69","93","4.13","656","162","2","1","37","73","20","1435.0","6214","1469","742","659","151","512","57","46","33","7","1068"
"2007","ARI","90","72","4.13","631","162","7","4","51","85","15","1441.0","6216","1446","732","662","169","546","38","61","48","9","1088"
"2010","COL","83","79","4.14","675","162","6","2","35","82","21","1442.0","6143","1405","717","663","139","525","54","56","77","12","1234"
"2014","HOU","70","92","4.14","600","162","7","2","31","65","25","1438.2","6154","1437","723","662","139","484","32","52","57","7","1137"
"2018","PHI","80","82","4.15","758","162","0","0","44","104","20","1445.2","6138","1366","728","666","171","500","35","60","81","7","1465"
"2018","LAA","80","82","4.15","763","162","1","1","35","86","26","1437.1","6108","1353","722","663","205","546","17","65","87","3","1386"
"2006","NYM","97","65","4.16","636","162","5","3","43","73","15","1461.1","6240","1402","731","675","180","527","39","62","37","5","1161"
"2009","CHW","79","83","4.16","577","162","4","1","36","55","18","1439.2","6155","1438","732","665","169","507","41","41","55","5","1119"
"2011","CIN","79","83","4.16","663","162","4","2","39","73","22","1467.2","6259","1414","720","678","185","539","47","59","51","13","1112"
"2009","PHI","93","69","4.16","621","162","8","5","44","81","22","1455.2","6263","1479","709","673","189","489","31","75","28","2","1153"
"2015","OAK","68","94","4.16","649","162","5","3","28","41","25","1444.2","6128","1402","729","668","172","474","19","47","62","4","1179"
"2015","SEA","76","86","4.16","671","162","6","5","45","100","24","1463.0","6223","1430","726","677","181","491","41","70","72","5","1283"
"2016","NYY","84","78","4.16","645","162","0","0","48","80","16","1428.1","6023","1358","702","661","214","444","15","57","52","2","1393"
"2008","MIN","88","75","4.18","648","163","5","2","42","75","23","1459.0","6221","1568","745","677","183","406","38","31","45","4","995"
"2009","CIN","78","84","4.18","640","162","6","4","41","80","12","1458.1","6253","1420","723","677","188","577","36","65","45","1","1069"
"2007","MIN","79","83","4.18","600","162","5","3","38","65","14","1436.2","6133","1505","725","667","185","420","33","51","46","5","1094"
"2019","CIN","75","87","4.18","697","162","0","0","46","85","23","1438.0","6057","1270","711","668","214","536","31","58","35","8","1552"
"2019","MIN","101","61","4.18","686","162","1","0","50","102","22","1463.1","6246","1456","754","680","198","452","10","61","71","5","1463"
"2010","BOS","89","73","4.19","605","162","3","1","44","65","25","1456.2","6267","1402","744","678","152","580","30","53","58","3","1207"
"2011","NYM","77","85","4.19","676","162","6","2","43","75","24","1448.0","6316","1482","742","674","147","514","48","70","46","7","1126"
"2016","TBR","68","94","4.20","647","162","1","1","42","75","18","1426.1","6076","1395","713","665","210","491","25","32","61","7","1357"
"2007","SFG","71","91","4.20","658","162","5","0","37","86","23","1453.2","6299","1442","720","678","133","593","41","47","49","4","1057"
"2017","LAA","80","82","4.20","705","162","1","1","43","77","21","1440.2","6030","1373","709","672","224","470","25","44","57","6","1312"
"2011","BOS","90","72","4.20","606","162","2","1","36","75","16","1457.1","6242","1366","737","680","156","540","11","90","58","7","1213"
"2013","BAL","85","77","4.20","635","162","2","1","57","80","27","1453.0","6144","1438","709","678","202","473","32","50","38","3","1169"
"2019","ATL","97","65","4.20","737","162","1","0","44","106","22","1450.2","6243","1421","743","677","203","548","33","69","70","3","1393"
"2007","LAD","82","80","4.20","645","162","4","0","43","73","17","1450.0","6196","1443","727","677","146","518","34","38","44","5","1184"
"2008","STL","86","76","4.20","668","162","2","1","42","106","31","1454.0","6264","1517","725","679","163","496","21","51","50","2","957"
"2016","KCR","81","81","4.21","634","162","3","0","41","78","19","1440.0","6182","1433","712","674","206","517","8","60","55","7","1287"
"2006","OAK","93","69","4.22","606","162","5","2","54","83","20","1451.2","6279","1525","727","680","162","529","47","55","43","4","1003"
"2016","BAL","89","73","4.22","605","162","1","0","54","58","14","1432.0","6122","1408","715","671","183","545","23","51","59","3","1248"
"2012","MIL","83","79","4.22","674","162","0","0","44","81","29","1453.2","6245","1458","733","682","169","525","20","31","57","5","1402"
"2016","PIT","78","83","4.22","687","162","5","1","51","89","20","1450.2","6292","1491","758","681","180","533","28","68","71","7","1232"
"2007","LAA","94","68","4.23","558","162","5","3","43","74","14","1435.0","6161","1480","731","674","151","477","22","51","69","5","1156"
"2006","LAD","88","74","4.23","616","162","1","0","40","56","21","1460.1","6289","1524","751","686","152","492","40","41","54","8","1068"
"2017","PIT","75","87","4.23","664","162","2","1","36","82","21","1440.2","6208","1464","731","677","182","511","32","58","58","2","1262"
"2010","TOR","85","77","4.23","617","162","5","2","45","69","17","1440.2","6165","1407","728","677","150","539","35","60","69","3","1184"
"2009","COL","92","70","4.24","646","162","5","2","45","73","16","1438.1","6171","1427","715","677","141","528","51","46","48","5","1154"
"2010","CHC","75","87","4.24","644","162","1","0","40","68","14","1436.2","6298","1409","767","677","154","605","42","65","46","6","1268"
"2016","DET","86","75","4.24","637","161","3","1","47","75","19","1428.0","6048","1417","721","673","182","462","25","51","44","4","1232"
"2013","LAA","78","84","4.24","658","162","4","2","41","79","17","1457.2","6298","1475","737","687","167","533","36","45","74","4","1200"
